Title,Company,Location,job_url,Job Description
"Data Analyst Intern, Regional BI & Planning (Summer 2025)",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-intern-regional-bi-planning-summer-2025-at-shopee-3840338732?position=11&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=2y%2BpC3i4VTnD63modsUQ5A%3D%3D,"Job Description

Conduct data collection and analysis using SQL and Python
Automate data collection and aggregation processes to build reporting dashboards"
"Data Analyst, Singapore",TikTok,Singapore,https://sg.linkedin.com/jobs/view/data-analyst-singapore-at-tiktok-4076510521?position=12&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=Yq%2FC51b84Rpd54wshY%2FoRA%3D%3D,"Responsibilities

TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok's sponsorship of a visa.



TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.

Why Join Us

Creation is the core of TikTok's purpose. Our products are built to help imaginations thrive. This is doubly true of the teams that make our innovations possible. Together, we inspire creativity and enrich life - a mission we aim towards achieving every day. To us, every challenge, no matter how ambiguous, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact-for ourselves, our company, and the users we serve. Join us.



The Global Business Solutions (GBS) team is responsible for the revenue growth of the TikTok business, and our teams include Sales, Marketing, Ops, Account Managers, Agency and partnerships, as well as Marketing Science.

At TikTok, our Global Business Solutions (GBS) team plays a key role in generating revenue by promoting our advertising solutions, onboarding new clients, driving ad campaigns, and more. As the TikTok community grows at an unprecedented speed around the world, our GBS team leads groundbreaking projects that are changing the landscape of the advertising industry in real time.

We are looking for data analysts to join the efforts driving monetization:





Minimum Qualification:







TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too."
Junior Data Analyst,Ascendion,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-analyst-at-ascendion-4171653153?position=13&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=oA8%2FJAbqwSLNBfSBmkZ81g%3D%3D,"Role:
This role is supporting lead generation for the merchant business.
The goal is to generate demand and deliver high-quality leads to help the corporate sales teams in APAC exceed their revenue targets.
The focus is on executing and optimizing data-driven lead generation campaigns, improving targeting strategies, and automating processes for scalability."
Data Analyst - Search & Recommendation & Ads & Content,Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-search-recommendation-ads-content-at-shopee-4174092543?position=14&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=icfxweDOCZ2%2Fw%2FgaAjHmpA%3D%3D,"About the Team:
Shopee Search & Recommendation & Ads & Content team provides AI-based online services to our users. Behind the scenes, these services are powered by petabytes of data, numerous state-of-the-art machine learning algorithms, sophisticated and scalable service architectures, and creative business strategies. We create intelligence from massive seemingly nebulous data and turn innovative ideas into tangible products. We keep on breaking our systems’ limits to keep pace with Shopee's fast-growing business. We aim to deliver a “smart” shopping experience on users’ next click."
Data Analyst,Adecco,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-adecco-4183888352?position=15&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=vVnYMv%2Bg46HWbxN86elLfQ%3D%3D,"key Responsibilities



Qualifications



Why Join Us?

<p data-pm-slice=""1 1 [""bulletList"",{},""listItem"",{},""bulletList"",{},""listItem"",{}]"">
<p data-pm-slice=""1 1 [""bulletList"",{},""listItem"",{},""bulletList"",{},""listItem"",{}]""> <p data-pm-slice=""1 1 [""bulletList"",{},""listItem"",{},""bulletList"",{},""listItem"",{}]""><p data-pm-slice=""1 1 [""bulletList"",{},""listItem"",{},""bulletList"",{},""listItem"",{}]""> 91C2918 <p data-pm-slice=""1 1 [""bulletList"",{},""listItem"",{},""bulletList"",{},""listItem"",{}]""> R2096241."
Junior Data Analyst (Contract),Monetary Authority of Singapore (MAS),"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-analyst-contract-at-monetary-authority-of-singapore-mas-4184492769?position=16&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=nK5UBiccNa4Tfkg%2Fs6eUTA%3D%3D,"What The Role Is

The Monetary Authority of Singapore (MAS) is Singapore’s central bank and integrated financial regulator.

As central bank, MAS promotes sustained, non-inflationary economic growth through the conduct of monetary policy and close macroeconomic surveillance and analysis. It manages Singapore’s exchange rate, official foreign reserves, and liquidity in the banking sector.

As an integrated financial supervisor, MAS fosters a sound financial services sector through its prudential oversight of all financial institutions in Singapore – banks, insurers, capital market intermediaries, financial advisors, and stock exchanges. It is also responsible for well-functioning financial markets, sound conduct, and investor education.

MAS also works with the financial industry to promote Singapore as a dynamic international financial centre. It facilitates the development of infrastructure, adoption of technology, and upgrading of skills in the financial industry.

Join us now, if you have a genuine interest in making an impact to help shape Singapore’s economic and financial landscape.








Process enhancement




Others









This is a 1-year contract position. As part of the shortlisting process for this role, you may be required to complete a medical declaration and/or undergo further assessment.

All applicants will be notified on whether they are shortlisted or not within 4 weeks of the closing date of this job posting."
Data Analyst - Buyer & Marketing (2025 Fresh Graduates),Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-buyer-marketing-2025-fresh-graduates-at-shopee-4129019507?position=17&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=gMWvk85ztdTCq3QByePBVg%3D%3D,"About The Team

The Data Analyst Team under the Buyer & Marketing Product Line is dedicated to leveraging data to drive strategic decisions and optimize product performance. The team focuses on analyzing product effectiveness and metrics to provide actionable insights. They collaborate closely with product managers and engineering teams to ensure data-driven strategies enhance user experience and business outcomes."
Business Data Analyst,Tata Consultancy Services,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/business-data-analyst-at-tata-consultancy-services-4179485291?position=18&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=oYbPm6aDg5X2U9%2FBmqCTmw%3D%3D,"JOB DESCRIPTION:

Role: Business & Data Analyst
Location: Singapore
Experience: 5 Years"
"Associate, Revenue Analytics",Netflix,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/associate-revenue-analytics-at-netflix-4109636163?position=19&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=KaRxzXSicYsDUFfyKKWFgQ%3D%3D,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.

The Revenue Analytics team provides the company with insights into what drives our past and current revenue and membership trends as well as an outlook on future growth. Internally, our analytical insights help inform growth/monetization strategy. Our revenue and membership forecasts are critical components that feed into the corporate planning process for spending and resource allocation across content, commerce, and technology.

Netflix is looking for the best and brightest candidates to use data and business insights to inform and drive key strategic decisions. We believe that we derive a significant competitive advantage from the highly analytical approach we take to managing the company. Senior management relies heavily on the Revenue Analytics team to develop a data-driven perspective on the company's growth, and the outcomes of our analyses play a critical role in how we plan for and execute on the company's business objectives.







Inclusion is a Netflix value and we strive to host a meaningful interview experience for all candidates. If you want an accommodation/adjustment for a disability or any other reason during the hiring process, please send a request to your recruiting partner.

We are an equal-opportunity employer and celebrate diversity, recognizing that diversity builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service."
Data Analyst- Coffee,ofi,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-coffee-at-ofi-4181782723?position=20&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=9hsykuRRh6P6JxPSRk5OcA%3D%3D,"About us
We are a global leader in food & beverage ingredients. Pioneers at heart, we operate at the forefront of consumer trends to provide food & beverage manufacturers with products and ingredients that will delight their consumers. Making a positive impact on people and planet is all part of the delight. With a deep-rooted presence in the countries where our ingredients are grown, we are closer to farmers, enabling better quality, and more reliable, traceable and transparent supply. Supplying products and ingredients at scale is just the start. We add value through our unique, complementary portfolio of natural, delicious and nutritious products. With our fresh thinking, we help our customers unleash the sensory and functional attributes of cocoa, coffee, dairy, nuts and spices so they can create naturally good food & beverage products that meet consumer expectations. And whoever we’re with, whatever we’re doing, we always ."
"Data Analyst, Singapore",TikTok,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-singapore-at-tiktok-4186597666?position=21&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=GI4UpYBT3xIj9MLe83YI8A%3D%3D,"Responsibilities
TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok's sponsorship of a visa.

About TikTok
TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.

Why Join Us
Creation is the core of TikTok's purpose. Our products are built to help imaginations thrive. This is doubly true of the teams that make our innovations possible. Together, we inspire creativity and enrich life - a mission we aim towards achieving every day. To us, every challenge, no matter how ambiguous, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact-for ourselves, our company, and the users we serve. Join us.

About Us
The Global Business Solutions (GBS) team is responsible for the revenue growth of the TikTok business, and our teams include Sales, Marketing, Ops, Account Managers, Agency and partnerships, as well as Marketing Science.

At TikTok, our Global Business Solutions (GBS) team plays a key role in generating revenue by promoting our advertising solutions, onboarding new clients, driving ad campaigns, and more. As the TikTok community grows at an unprecedented speed around the world, our GBS team leads groundbreaking projects that are changing the landscape of the advertising industry in real time.

We are looking for data analysts to join the efforts driving monetization:
- Apply expertise in data analysis and visualization to see beyond the numbers and understand how our users interact with our ads products.
- Deliver data support for both short term and long term business development plans from strategic scope and execution aspects with in-depths analysis.
- Work closely with key cross functional teams such as product managers, data science, and engineers to solve business problems.
- Build/maintain reports, dashboards, and metrics to monitor the performance of business products.
- This is an individual contributor role, but will be expected to manage projects.


Minimum Qualification:
- Bachelor's degree with a background in Math, Economics, Computer Science, Statistics, or other quantitative fields;
- 5+ years experience of Data Analytics.
- Expert experience pulling large and complex data using SQL and writing data pipelines.
- Experience with a data visualization tool (e.g. Tableau);

Preferred Qualification:
- Experience doing quantitative analysis;
- Development experience in at least one scripting language (PHP, Python, Perl, etc.);
- Excellent verbal and written English communication skills;
- Experience with large data sets and distributed computing (Hive/Hadoop) a plus

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too."
Data Analyst,MODEC Offshore Production Systems (Singapore) / Offshore Frontier Solutions,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-modec-offshore-production-systems-singapore-offshore-frontier-solutions-4182557098?position=22&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=3K8wUBTbW2gxt1g%2B3grt8Q%3D%3D,"Overall Job Purpose
Responsible for designing and building reports across MODEC’s data landscape, ensuring data accuracy, quality, and accessibility. The Data Analyst will gather and analyze business requirements, develop data models, and create insightful reports to support strategic decision-making. This role involves collaborating with various departments to understand their data needs, extracting and transforming data from multiple sources, and ensuring data governance and compliance."
Junior Data Analyst,Capgemini,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-analyst-at-capgemini-4133053731?position=23&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=9cQzfJ%2BuS6EdgyJdBitYuA%3D%3D,"About Capgemini

Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, cloud and data, combined with its deep industry"
Data Analyst  (Bank |Up to $8k),Adecco,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-bank-up-to-%248k-at-adecco-4178102356?position=24&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=Rp7RUsXjQtx8J%2FuXTFU3lg%3D%3D,"The Opportunity
Opportunity to work for one of the leading financial service providers and top banks
12 months contract
Team: Group Finance Platform"
Data Analyst - Honkai: Star Rail - Fresh Grad,HoYoverse,Singapore,https://sg.linkedin.com/jobs/view/data-analyst-honkai-star-rail-fresh-grad-at-hoyoverse-3838198465?position=25&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=v5zmcTw76WiC2IbFlslYEw%3D%3D,"Who Are We?

HoYoverse is committed to providing immersive virtual world experiences to players around the world. We have brought fans popular games including Genshin Impact, Honkai: Star Rail, Honkai Impact 3rd, Tears of Themis, and Zenless Zone Zero, as well as a wide range of entertainment content.

‌

Community is at the heart of everything we do. We are devoted to engaging fans and fostering an enthusiastic and inclusive global community that provides access and encouragement for people to share their passion for ACG (Animation, Comics, and Games) through their own creativity and skills.

‌

Pushing the boundaries of imagination, we consistently explore cutting-edge game development technologies, and have accumulated leading technical capabilities in cel shading, cloud gaming, and other fields.

‌

In the future, we will continue to expand our content production, technology research, and publishing duties through operations in offices in Singapore, Montreal, Los Angeles, Tokyo, Seoul, and other areas.

When you apply to a position with HoYoverse, we will process your personal data. To learn more about how we process your data, we encourage you to review our comprehensive Global Applicant and Candidate Privacy Policy. This policy provides detailed insights into how your information is collected, used, and protected throughout the application process.









We are an equal opportunity employer that believes diverse backgrounds are key to bringing our concepts to life. If you're looking to play a key role in creating the best immersive virtual world experience for our users, we invite you to join our team."
Data Analyst,Ascendion,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-ascendion-4173378576?position=26&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=gihie3QL5k3irfMeq0BE0g%3D%3D,"Key Responsibilities:
Execute data targeting strategies to support lead generation campaigns.
Create and run SQL and Python scripts for campaign leads targeting.
Upload and refine leads based on sales feedback to improve targeting.
Collaborate with sales teams to ensure alignment on lead generation goals."
Data Analyst,Tundra Technical Solutions,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-tundra-technical-solutions-4179895684?position=28&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=5ytyljLjjACoqF5b4aKNow%3D%3D,"This posting is for a contract assignment with Tundra Technical Solutions to provide services to Meta.

Contract Duration: Until December 31st 2025 (EOY)"
"Data Analyst, Global Partnerships Sales Engine",Google,Singapore,https://sg.linkedin.com/jobs/view/data-analyst-global-partnerships-sales-engine-at-google-4183327502?position=29&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=sQ62U%2F4kYZCG8xuBBBmLpQ%3D%3D,"Google will be prioritizing applicants who have a current right to work in Singapore, and do not require Google's sponsorship of a visa.

Minimum qualifications:









In this role, you will be part of the Sellside Global Scaled Solutions team, which supports the world’s leading publishers and helps drive business growth for them through our publisher business generation and platform solutions. The Global Partnerships Sales Engine (GPSE) team is a critical part of driving operational efficiency and scale in support of our publisher business generation and platform solutions. The GPSE team centralizes work away from sales teams so that front-line sales leaders can concentrate their efforts on client-specific activities and continue growing a multi-billion dollar global business.

The Global Partnership Sales Engine (GPSE) Team is an integral part of creating efficiency and scale in support of our publisher business generation and platform solutions. The GPSE team is designed to accelerate operational activities and centralize work (e.g., operational activities like reporting, implementation and optimization) away from the sales teams so that they can concentrate the efforts on client-specific activities.

As a data analyst on the GPSE team, you will have the opportunity to work with an extensive range of cross-functional teams on the Global Partnerships side of the business, to further evolve and scale GPSE support. This requires excellent stakeholder management (ensure customer and stakeholder expectations are understood, met, and managed), data analysis, communication and ability to lead projects/case work separately.






Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form ."
"Marketing Analytics, Junior Data Analyst (Campus Hiring 2025)",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/marketing-analytics-junior-data-analyst-campus-hiring-2025-at-shopee-4184535841?position=30&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=xV5L7hYOG1Fz%2Bjbf3aVOlw%3D%3D,"About The Team

Our Marketing Analytics team leverages data to optimise both on-platform and off-platform advertising strategies. Working closely with global teams, we develop efficient reporting solutions, analyse large datasets, and provide actionable insights to drive impactful campaigns. We continually tackle analytical challenges and adapt to evolving business needs."
Data Analyst,Astek,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-astek-4174551198?position=31&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=W6TSOewVu8J1ur%2FlFkXBfg%3D%3D,"Job Title: Junior/Mid-Level Data Analyst
Location: Singapore (CBD)

Role Overview:
We are seeking a detail-oriented and highly motivated Data Analyst to join our Data Strategy Group. This role will primarily focus on supporting the management and operations of the Enterprise Data Warehouse (EDW) and Total Portfolio Data Mart (TPDM)."
Data Analyst,Randstad Singapore,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-randstad-singapore-4172255525?position=32&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=EPucKbMwKDPgN6hXeZu9MA%3D%3D,"about the company:
Our client is a pioneering financial institution known for its innovative approach to banking services and commitment to customer-centric solutions. Leveraging advanced technology, it provides a seamless banking experience tailored to modern needs. With a focus on digital solutions and customer satisfaction, it continues to redefine standards in the banking industry, ensuring reliability, security, and efficiency in its services."
Senior Data Analyst,Tencent,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/senior-data-analyst-at-tencent-4164759454?position=33&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=WO7qK5dyDUSQpHc%2FNAdh6Q%3D%3D,"About LightSpeed
Lightspeed Studios are one of the world’s most innovative and successful game developers. We are expanding across China, the United States, Singapore, Canada, Japan, South Korea, and New Zealand."
Associate Data Analyst,HIGOGAME PTE. LTD,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/associate-data-analyst-at-higogame-pte-ltd-4165405441?position=34&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=ejZJEu7vj5m35KS3h%2FzheA%3D%3D,"Company Description
Higogame is a trailblazer in the mobile gaming and entertainment industry. Since our inception in late 2020, we have been dedicated to transforming the gaming landscape in Southeast Asia and beyond, delivering innovative and immersive experiences that engage millions of players around the globe."
Data Analyst | Bank | Contract,Manpower Singapore,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-bank-contract-at-manpower-singapore-4178150605?position=35&pageNum=0&refId=9FcPbE%2B64zkQQmGyskfD1g%3D%3D&trackingId=Rtn62iLXpi6vL2%2BAkZfcMA%3D%3D,"Responsibilities
Gather and analyse requirements from business.
Perform data discovery and analysis from the bank's data platform to ensure requirements are feasible."
