,Title,Company,Link,Job Description
11,"Software Engineer, Machine Learning",FACEBOOK SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-machine-learning-facebook-singapore-da9a5b89957ffcd8c92a490659293169?source=MCF&event=Search,"Responsibilities
Play a critical role in setting the direction and goals for a sizable team, in terms of project impact, ML system design, and ML excellence
Adapt standard machine learning methods to best exploit modern parallel environments (e.g., distributed clusters, multicore SMP, and GPU)
Re-evaluate the tradeoffs of already shipped features/ML systems, and you are able to drive large efforts across multiple teams to reduce technical debt, designing from first principles when appropriate
Leading a team from a technical perspective to develop ML best practices and influence engineering culture
Be a go-to person to escalate the most complex online/production performance and evaluation issues, that require an in depth knowledge of how the machine learning system interacts with systems around it
Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models
Suggest, collect and synthesize requirements and create effective feature roadmap
Code deliverables in tandem with the engineering team
Minimum Qualifications
8+ years of experience in software engineering, or a relevant field. 4+ years of experience if you have a PhD
6+ years of experience in one or more of the following areas: machine learning, recommendation systems, pattern recognition, data mining, artificial intelligence, or related technical field
Experience with scripting languages such as Python, Javascript or Hack
Experience leading major initiatives successfully
Experience building and shipping high quality work and achieving high reliability
Experience with developing machine learning models at scale from inception to business impact
Knowledge developing and debugging in C/C++ and Java, or experience with scripting languages such as Python, Perl, PHP, and/or shell scripts
Experience demonstrating technical leadership working with teams, owning projects, defining and setting technical direction for projects
Experienced in utilizing data and analysis to explain technical problems and providing detailed feedback and solutions
Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience
Preferred Qualifications
Masters degree or PhD in Computer Science or a related technical field
Exposure to architectural patterns of large scale software applications
Experience with scripting languages such as Pytorch and TF
"
12,G01 - Frontend Software Engineer,FPT ASIA PACIFIC PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/g01-frontend-software-engineer-fpt-asia-pacific-374c67dbc3cc0768b712b060fe72fb98?source=MCF&event=Search,"Objectives and Responsibilities
Develop new features for the geospatial app, involving components and stores (business logic), in an independent manner
Specify and anticipate all possible user actions, and take into account failure states when designing features (early termination, activating another feature halfway through, etc.)
Write unit tests on new features developed
Write documentation to allow others to continue developing the feature
Required Skills and Experience
Proficiency in Typescript
Proficiency in React
Preferably experience in configuring build tooling (Vite)
Preferably experience with MobX for state management
Experience authoring unit/integration tests
Preferred Qualifications
Bachelors degree in computer science, software engineering or a related field
"
13,Intern Software Developer,NINJA CODING HOUSE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/intern-software-developer-ninja-coding-house-2087578bbab7fd8e4960e7bf86b43daf?source=MCF&event=Search,"Responsibilities:
Assist in designing, developing, and maintaining web applications using PHP, Laravel, MySQL, HTML/CSS, and Next.js.
Support the development and integration of APIs for seamless system communication.
Write clean, efficient, and reusable code under the guidance of senior developers.
Debug, troubleshoot, and optimize applications to improve performance.
Ensure applications are responsive and user-friendly across various devices.
Collaborate with team members and gain hands-on experience in project development.
Stay updated on industry trends and best practices in software development.
Qualifications:
Currently pursuing a Degree, Diploma or Higher Nitec in Information Technology, Computer Science, or a related field.
Basic knowledge of PHP, Laravel, MySQL, HTML/CSS, and Next.js.
Familiarity with front-end frameworks (e.g., Tailwind) and version control (e.g., Git) is a plus.
Strong problem-solving skills and eagerness to learn new technologies.
Ability to work in a collaborative team environment and take initiative.
Passion for web development and software engineering.
"
14,Triple A and Actuate Software Engineer,ANTAES ASIA PTE. LTD.,https://www.mycareersfuture.gov.sg/job/consulting/triple-actuate-software-engineer-antaes-asia-67d44988cbecf4e32df43a9b89dfb340?source=MCF&event=Search,"Job Description:
Perform Business Analysis, interacting with various business representatives
Write technical specifications for developments done by technical teams (Unix, Java, TX maps)
Do Triple A Core object development
Do Actuate Reports development
Prepare technical deliveries and support implementation by integration teams.
Perform functional testing of PMS domain systems (formalization in ALM System)
Propose solutions and improvements
Contribute to key and strategic projects
Contribute to Support Activities
Perform Project Management activities
Perform quality reporting and controls in line with the Teams QACMP
Applications managed by the team: Triple A core objects, Triple A data model, functional asset unicity
Job Requirements:
Bachelor’s Degree or equivalent experience required
At least 5 years of experience in the private banking or asset management industry
At least 5 years of experience in IT Development activities
Excellent communication skills in English, both oral and written
Previous exposure on Odyssey's Triple'A system is a must
Minimum 3 years of experience in Triple’ A Scripting and system setup
Minimum 3 years of experience in Actuate
Minimum 2 years of technical experience in Oracle/Sybase, Shell Scripting, Quality Assurance / Project Management process, System Testing
Knowledge of process methodology
Experience of business support in a Wealth Management organization
CFA, PMP, Business Analyst certifications are a plus
Singapore Citizens are highly preferred
"
15,Batch Job Optimization Engineer (JD#10015),SCIENTE INTERNATIONAL PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/batch-job-optimization-engineer-sciente-international-4c6ddc1341b87af6290ab9647f9caea4?source=MCF&event=Search,"Mandatory Skill-set
Degree or Diploma in Software Engineering, Computer Engineering, or equivalent;
Overall 8 to 12 years of working experience in IT industry with team leading experience;
Hands-on experience in 24/7 mission-critical enterprise environments and associated IT systems;
Proven track record in re-engineering and optimizing critical and complex batch jobs to ensure high availability, cost efficiency, and minimal impact on the hosting application systems;
Lead technical teams, cultivating a collaborative environment that fosters growth and development;
In depth understanding of Batch Job Platforms like BMC, control M / VisualCron;
Exposure to application development with an understanding of common programming languages such as Java / .NET;
Proficient in navigating dynamic, fast-paced environments with multiple interdependent teams;
Must have good communication skills and adept at collaborative work within a professional environment;
Desired Skill-set
Exposure to ITIL (Incident, Problem & Change management).
Responsibilities
Be a Subject Matter Expert (SME) and Administrator for Batch Job Platforms providing solutions for running and optimizing the job workloads;
Schedule, monitor, and maintain batch jobs using enterprise scheduling tools (e.g.,BMC, Control-M, VisualCron, Autosys etc.).
Develop and implement job streams and workflows to ensure timely and accurate processing of data;
Monitor batch job executions, ensuring they complete successfully and within defined SLAs;
Troubleshoot and resolve batch job failures, collaborating with application developers and system administrators as needed
Analyze job performance and recommend improvements to optimize processing times and resource utilization;
Develop and Implement Policies for Standard Batch Job Execution and Monitoring, Demonstrating Proficiency in Relevant Technologies and Frameworks;
Stay current with technological advancements and recommend updates or new tools to improve batch processing operations.
"
16,Snr QA Testing Engineer (Playwright / Typescript),ATTIX APAC PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/snr-qa-testing-engineer-attix-apac-9d7035fe84fdc5e7e05f55958dcbddbe?source=MCF&event=Search,"Key Responsibilities:
Design, develop and implement QA test procedures and test cases, ensuring comprehensive coverage
Oversee the QA process, modify testing procedures, and implement improvements as needed
Collaborate with developers, product managers, and other stakeholders to define acceptance criteria and ensure high-quality deliverables
Troubleshoot quality issues, identify root causes, and work with development teams to implement fixes
Analyze test results, provide insights to development teams, and ensure traceability of requirements and test cases
Ensure testing artifacts are complete and adhere to quality standards throughout the SDLC project delivery methodology
Qualification & Skills:
Bachelor's degree in computer science, software engineering, or a related field.
3+ years of experience in QA testing for web and mobile applications
Strong knowledge of QA methodologies, tools, and processes.
Experience writing and executing comprehensive test cases with tools like JIRA/XRAY or the similar.
Familiarity with accessing application logs to troubleshoot issues
Experience creating and executing automated tests for Web (UI/UX), API, and mobile platforms
Knowledge on Playwright, Detox, Appium (good to have)
Knowledge on Git, Github Actions & CI/CD
Strong communication, problem-solving, and analytical skills..
"
17,Senior Software Consultant - Contract Role - SYN,EVO OUTSOURCING SOLUTIONS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-consultant-contract-role-syn-evo-outsourcing-solutions-25692c2e514b76d019582734b7ba340c?source=MCF&event=Search,"Responsibilities:
Collaborate with cross-functional teams to identify and understand software requirements for quantitative strategy development and hedging in the finance domain.
Design, develop, and maintain robust software applications using Python and related frameworks such as Django, Flask, and Tornado.
Utilize your extensive knowledge of Python to write efficient, scalable, and maintainable code.
Work with databases including MySQL, Redis, and MongoDB to store and retrieve data required for financial analysis and modelling.
Leverage your expertise in Docker to containerize and deploy software applications effectively.
Participate in code reviews, identify areas for improvement, and contribute to the continuous enhancement of coding standards and best practices.
Collaborate with quantitative analysts and researchers to implement and optimize mathematical models and algorithms for financial strategies.
Mentor and provide guidance to junior members of the development team
Qualifications:
Bachelor's degree in Computer Science and technology, Software Engineering, or a related field.
6+ years of professional experience in software development, preferably in the R&D sector.
Strong expertise in quantitative strategy development and hedging within the finance industry.
Extensive hands-on experience with Python, including at least 6 years of practical application.
Proficiency in web frameworks such as Django, Flask, and Tornado.
Solid understanding of relational databases (MySQL), NoSQL databases (MongoDB), and in-memory data stores (Redis).
Familiarity with containerization technologies, particularly Docker.
"
18,SOFTWARE ENGINEER,FACTORY CHAIN PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-factory-chain-63f482b7c0fa0cfa0a587dc870b056c6?source=MCF&event=Search,"Roles & Responsibilities
We are looking for a part time software engineer to handle computer vision and object detection. It can be done off site and on site.
You will need to use the video stream from stereo camera, do pre-processing, object inference and detection, and obtain the position of the object.

Preferred skill sets include python, computer vision, AI models, AI training, AI inference, point cloud.
"
19,Fullstack Software Engineer | Hybrid Working | 1 Year Contract,PERSOLKELLY SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/fullstack-software-engineer-hybrid-working-1-year-contract-persolkelly-singapore-2ed936834f782df7f777243b69c46782?source=MCF&event=Search,"Roles & Responsibilities
Have Degree or Diploma in computing, design or a relevant field of study
Min. 4 years’ experience in software engineering or related role
Experience in frontend technologies (HTML, CSS and JS/TS) as well as any web framework (React, Angular, Vue, Nextjs and etc)
Experience in backend with Python and REST APIs or other backend frameworks
Experience with the cloud (e.g. AWS, GCP, Azure)
Experience with Infrastructure as Code tooling would be an advantage
Familiarity with Git version control and testing
Understanding of DevOps, Git and CI/CD would be an advantage
Interest in web app development and UI/UX design
Experience in data privacy or data security is a bonus
Curiosity, willingness to learn, and inclination to work in a collaborative environment
"
20,Full Stack Engineer for DEP (Consultant of 5 years),WEBSPARKS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/full-stack-engineer-dep-websparks-749039e8ad5646de371e11aa5544eddd?source=MCF&event=Search,"Your responsibilities will include:
•Taking a leadership role in team delivery of product and engineering goals.
•Delivering high-quality, maintainable, and reusable software systems.
•Making significant technical contributions and providing technical leadership to software engineers by coaching and mentoring through engineering best practices.
•Influencing team direction towards the achievement of high-priority initiatives to maximize our impact on the public good.
•Establishing practices and tools to foster a strong engineering culture and maximize engineering effectiveness and impact.
•Independently managing external (to the team) dependencies related to your work items.
•Collaborating with other leaders to create a long-term technical plan and roadmap for the assigned squads, and for other squads as needed. Updating the roadmap regularly to meet future product/business needs and infrastructure requirements.
•Leading recruitment efforts, particularly for senior hires.

What we look out for:
• Relevant skills of minimum 5 years with strong evidence of application
• Primary skill - Java is most important technology requirement
• Secondary – Javascript, SQL and relational database skills •Experience working on reasonably large, high-availability software systems that have operated at scale.
•Experience in modern full-stack web application technologies; experience in modern front-end engineering on Next.Js/React.js and Java/TypeScript on the backend is preferred.
•Have a strong sense of what it means to be a technical leader, particularly as it relates to the suite of soft skills beyond just your technical chops.
•Passion towards engineering excellence; you deeply understand that software engineering is a team sport, and you take pride in the craftsmanship aspect of software engineering.
•Passion towards working for public good with interest.
•Interest and experience in coaching and growing junior engineers.- Growth mindset
"
21,Full Stack Engineer for DEP (Consultant of 7 years),WEBSPARKS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/full-stack-engineer-dep-websparks-1a7fa3b130552b1b2f868b0b7eb5a382?source=MCF&event=Search,"Your responsibilities will include:
•Taking a leadership role in team delivery of product and engineering goals.
•Delivering high-quality, maintainable, and reusable software systems.
•Making significant technical contributions and providing technical leadership to software engineers by coaching and mentoring through engineering best practices.
•Influencing team direction towards the achievement of high-priority initiatives to maximize our impact on the public good.
•Establishing practices and tools to foster a strong engineering culture and maximize engineering effectiveness and impact.
•Independently managing external (to the team) dependencies related to your work items.
•Collaborating with other leaders to create a long-term technical plan and roadmap for the assigned squads, and for other squads as needed. Updating the roadmap regularly to meet future product/business needs and infrastructure requirements.
•Leading recruitment efforts, particularly for senior hires.

What we look out for:
• Relevant skills of minimum 7 years with strong evidence of application
• Primary skill - Java is most important technology requirement
• Secondary – Javascript, SQL and relational database skills •Experience working on reasonably large, high-availability software systems that have operated at scale.
•Experience in modern full-stack web application technologies; experience in modern front-end engineering on Next.Js/React.js and Java/TypeScript on the backend is preferred.
•Have a strong sense of what it means to be a technical leader, particularly as it relates to the suite of soft skills beyond just your technical chops.
•Passion towards engineering excellence; you deeply understand that software engineering is a team sport, and you take pride in the craftsmanship aspect of software engineering.
•Passion towards working for public good with interest.
•Interest and experience in coaching and growing junior engineers.- Growth mindset
"
22,Software Engineer (IT),UNITED MICROELECTRONICS CORPORATION (SINGAPORE BRANCH),https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-united-microelectronics-corporation-943d90879c81c0bdff2c9aadcc0bc7be?source=MCF&event=Search,"Job description:
Plan, develop, and maintain the FAB CIM system to meet company operation objectives and promote customer satisfaction.
Integrate user requirements, develop and maintain applications to achieve FAB operation objectives.
Maintain and enhance system/service availability to minimize downtime and improve customer satisfaction.
Manage daily operations effectively, including reviewing and analyzing quality issues and handling system exceptions promptly.
Develop technical skills to meet system development and debugging needs.
Requirements:
Bachelor’s degree in Computer Science and Information Technology.
Proven experience in CIM system development and maintenance.
Proficiency in IT operations and systems management.
Experience with Oracle databases preferred.
Familiarity with .Net framework is advantageous.
Strong analytical and problem-solving skills.
Ability to work independently and as part of a team.
Excellent communication and interpersonal skills.
"
23,Senior Software Testing Engineer,DIGITAL DISRUPTION PTE. LTD.,https://www.mycareersfuture.gov.sg/job/consulting/senior-software-testing-engineer-digital-disruption-be814640038f53b9ace4b535cf5dcb05?source=MCF&event=Search,"Responsibilities:
• Define the testing strategy and framework to ensure a high standard of testing and quality assurance is in place • Plan and manage various phases of testing (SIT, UFT, UAT & Regression) • Manage the test preparation, test cycles & test environment • Engage test automation team for planning, scripting and execution of test scripts • Chair the test progress meeting • Conduct defect triage meetings with Vendor, Users and IT teams • Plan and manage the runbook for all testing phases, Mock Runs & Production Implementations • Report test progress and Issues (Daily, Weekly) • Provide metrics and status updates for organization reporting • Work with different IT teams across infrastructure and various business divisions to deliver testing solutions for the business. • Be the focal point of contact for Business testing needs • Liaise with technical lead / Project managers to manage expectations for each of the testing stages of projects. Agree 'quality gate' criteria and corrective actions • Stakeholder management • Adhere to the Bank's Service Management guidelines (ITIL) and participate and provide recommendations in process, service and system improvements
Mandatory Skills Description:
• 8+ years of software testing experience • Minimum 4 years of experience as Test Manager on Murex platform • Knowledge on financial market products • Understanding of bank's front, middle and back office operations, finance and accounting. Experience and management of at least one Front to Back implementation within a financial services organization • Experience in vendor management and good IT risk understanding. • Understanding of Murex automation using GUI tools such as QTP as well as Report comparison tools. • Experience on murex setup and functional tests using various module of murex. • Ability to work independently and take decisions • Experience in working direct with Technical leads, project managers and Business Analysts in business and IT organization • Experience with Principles, methods, techniques and tools for the effective management of the testing process • Experience of the execution of tests throughout the lifecycle of development projects • Excellent communication, inter-personal skills and problem solving skills
"
24,"Data Engineer, Product Analytics",FACEBOOK SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/data-engineer-product-analytics-facebook-singapore-bc2dd8eade26f2afad13b36344d01477?source=MCF&event=Search,"Responsibilities
Conceptualize and own the data architecture for multiple large-scale projects, while evaluating design and operational cost-benefit tradeoffs within systems
Create and contribute to frameworks that improve the efficacy of logging data, while working with data infrastructure to triage issues and resolve
Collaborate with engineers, product managers, and data scientists to understand data needs, representing key data insights in a meaningful way
Define and manage Service Level Agreements for all data sets in allocated areas of ownership
Determine and implement the security model based on privacy requirements, confirm safeguards are followed, address data quality issues, and evolve governance processes within allocated areas of ownership
Design, build, and launch collections of sophisticated data models and visualizations that support multiple use cases across different products or domains
Solve our most challenging data integration problems, utilizing optimal Extract, Transform, Load (ETL) patterns, frameworks, query techniques, sourcing from structured and unstructured data sources
Assist in owning existing processes running in production, optimizing complex code through advanced algorithmic concepts
Optimize pipelines, dashboards, frameworks, and systems to facilitate easier development of data artifacts
Influence product and cross-functional teams to identify data opportunities to drive impact
Mentor team members by giving/receiving actionable feedback
Minimum Qualifications
Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent
4+ years of experience where the primary responsibility involves working with data. This could include roles such as data analyst, data scientist, data engineer, or similar positions
4+ years of experience (or a minimum of 2+ years with a Ph.D) with SQL, ETL, data modeling, and at least one programming language (e.g., Python, C++, C#, Scala, etc.)
"
25,IT Analyst Programmer / Software Engineer - RPG / RPGLE / IBM AS400 / System,RECRUITFLASH PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/analyst-programmer-software-engineer-rpg-rpgle-ibm-as400-system-recruitflash-8d95895e9cabfe5d6f4aa1fa01be4d80?source=MCF&event=Search,"The Job:
Analyse, design and implement changes to legacy application systems
Provide training and support to end-users
Prepare user and system documentation

Requirements:
Degree/Diploma in Computer Studies or its equivalent
At least 2-3 years programming experience in RPG or RPGLE on IBM AS400/System i environment

"
